Date,Month-Year,Warehouse Code,Customer Code,Order Number,Order Line Number,Item Code,Units,Euros,Conversion Ratio,Warehouse Name,Warehouse Country,Warehouse City,Road,Rail,Sea,Air,total_dist,Location,Warehouse_Latitude,Warehouse_Longitude,Latitude,Longitude,KG,CO2 Road,CO2 Rail,CO2 Sea,CO2 Air,CO2 Total
2021-01-04,1-2021,3403434,5002915-15,20247100,1,963543-43,2.0,381.47,56.584,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,765.728,0,0,660,1425.728,"Lisbon, Portugal",48.9575,4.365,38.7167,-9.139,113.168,8.318967005184,0.0,0.0,156.850848,165.169815005184
2021-01-07,1-2021,3403434,5397843-43,20258239,1,8902753-53,250.0,187.03,0.032,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,281.488,0,0,951,1232.488,"Barcelona, Spain",48.9575,4.365,41.3851,2.1734,8.0,0.21618278400000002,0.0,0.0,15.976800000000003,16.192982784
2021-01-07,1-2021,3403434,5397843-43,20258239,2,8308591-91,500.0,452.45,0.02219,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,281.488,0,0,951,1232.488,"Barcelona, Spain",48.9575,4.365,41.3851,2.1734,11.095,0.29981849856000004,0.0,0.0,22.157824500000004,22.457642998560004
2021-01-07,1-2021,3403434,5397843-43,20258239,3,8308621-21,500.0,452.45,0.02219,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,281.488,0,0,951,1232.488,"Barcelona, Spain",48.9575,4.365,41.3851,2.1734,11.095,0.29981849856000004,0.0,0.0,22.157824500000004,22.457642998560004
2021-01-07,1-2021,3403434,5397843-43,20258239,4,8022921-21,400.0,567.16,0.032,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,281.488,0,0,951,1232.488,"Barcelona, Spain",48.9575,4.365,41.3851,2.1734,12.8,0.34589245440000005,0.0,0.0,25.562880000000003,25.908772454400005
2021-01-07,1-2021,3403434,5397843-43,20258239,5,8128704-04,400.0,550.04,0.02092,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,281.488,0,0,951,1232.488,"Barcelona, Spain",48.9575,4.365,41.3851,2.1734,8.368,0.226127192064,0.0,0.0,16.7117328,16.937859992064
2021-01-07,1-2021,3403434,5397843-43,20258239,6,802077-77,300.0,408.27,0.019,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,281.488,0,0,951,1232.488,"Barcelona, Spain",48.9575,4.365,41.3851,2.1734,5.7,0.1540302336,0.0,0.0,11.38347,11.537500233600001
2021-01-07,1-2021,3403434,5397843-43,20258239,7,888751-51,96.0,107.39,0.04767,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,281.488,0,0,951,1232.488,"Barcelona, Spain",48.9575,4.365,41.3851,2.1734,4.57632,0.12366519975936001,0.0,0.0,9.139368672,9.26303387175936
2021-01-07,1-2021,3403434,5397843-43,20258239,8,897001-01,125.0,228.0,0.04304,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,281.488,0,0,951,1232.488,"Barcelona, Spain",48.9575,4.365,41.3851,2.1734,5.38,0.14538292224,0.0,0.0,10.744398000000002,10.889780922240002
2021-01-07,1-2021,3403434,5397843-43,20258239,9,8308601-01,200.0,180.98,0.02219,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,281.488,0,0,951,1232.488,"Barcelona, Spain",48.9575,4.365,41.3851,2.1734,4.438000000000001,0.11992739942400003,0.0,0.0,8.863129800000003,8.983057199424003
2021-01-07,1-2021,3403434,5340669-69,20203388,1,993081-81,153.0,24374.43,16.53807,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,856.0,0,1154,0,2010.0,"Ålesund, Norway",48.9575,4.365,62.4722,6.1495,2530.3247100000003,207.93196336896006,0.0,29.199947153400004,0.0,237.13191052236004
2021-01-07,1-2021,3403434,5340672-72,20203383,1,993081-81,128.0,20391.68,16.53807,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,82.694,0,1296,0,1378.694,"Stavanger, Norway",48.9575,4.365,58.9701,5.7333,2116.87296,16.80505848520704,0.0,27.434673561600004,0.0,44.23973204680705
2021-01-08,1-2021,3403434,5029913-13,20258208,1,802063-63,560.0,439.1,0.022,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,12.319999999999999,0.34114020864,0.0,0.0,23.491776,23.83291620864
2021-01-08,1-2021,3403434,5029913-13,20258208,2,8128741-41,2240.0,5325.82,0.03392,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,75.9808,2.1039047049216,0.0,0.0,144.88018944,146.9840941449216
2021-01-08,1-2021,3403434,5029913-13,20258208,3,1199005728-28,576.0,1231.08,0.054,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,31.104,0.861268267008,0.0,0.0,59.30910720000001,60.17037546700801
2021-01-08,1-2021,3403434,5029913-13,20258208,4,802064-64,1120.0,878.19,0.0184,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,20.608,0.5706345308160001,0.0,0.0,39.2953344,39.865968930816
2021-01-08,1-2021,3403434,5029913-13,20258208,5,802077-77,960.0,1159.49,0.019,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,18.24,0.5050647244800001,0.0,0.0,34.780032000000006,35.285096724480006
2021-01-08,1-2021,3403434,5029913-13,20258208,6,9202962-62,375.0,931.91,0.0915,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,34.3125,0.9501114780000002,0.0,0.0,65.427075,66.377186478
2021-01-08,1-2021,3403434,5029913-13,20258208,7,895956-56,560.0,725.93,0.0178,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,9.968,0.276013441536,0.0,0.0,19.0069824,19.282995841536
2021-01-08,1-2021,3403434,5029913-13,20258208,8,897785-85,560.0,676.37,0.019,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,10.64,0.29462108928,0.0,0.0,20.288352000000003,20.582973089280003
2021-01-08,1-2021,3403434,5029913-13,20258208,9,902126-26,1120.0,1806.0,0.019,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,21.28,0.58924217856,0.0,0.0,40.57670400000001,41.165946178560006
2021-01-08,1-2021,3403434,5029913-13,20258208,10,9078342-42,240.0,490.2,0.078,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,18.72,0.5183559014400001,0.0,0.0,35.695296,36.21365190144
2021-01-08,1-2021,3403434,5029913-13,20258208,11,927818-18,2160.0,6870.31,0.05689,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,122.8824,3.4026077576448004,0.0,0.0,234.31216032,237.7147680776448
2021-01-08,1-2021,3403434,5029913-13,20258208,12,935588-88,560.0,1579.31,0.03488,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,19.5328,0.5408622944256001,0.0,0.0,37.24514304,37.7860053344256
2021-01-08,1-2021,3403434,5029913-13,20258208,13,964787-87,560.0,506.41,0.02421,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,13.557599999999999,0.3754092932352,0.0,0.0,25.85163168,26.2270409732352
2021-01-08,1-2021,3403434,5029913-13,20258208,14,964809-09,300.0,546.33,0.0599,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,17.97,0.49758843744000003,0.0,0.0,34.265195999999996,34.76278443744
2021-01-08,1-2021,3403434,5029913-13,20258208,15,964859-59,760.0,1191.83,0.0545499999999999,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,41.45799999999992,1.1479700300159978,0.0,0.0,79.05211439999984,80.20008443001583
2021-01-08,1-2021,3403434,5029913-13,20258208,16,9672961-61,400.0,773.96,0.021,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,8.4,0.23259559680000005,0.0,0.0,16.017120000000002,16.2497155968
2021-01-08,1-2021,3403434,5029913-13,20258208,17,992668-68,700.0,1416.45,0.0215,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,15.049999999999999,0.41673377759999997,0.0,0.0,28.69734,29.1140737776
2021-01-08,1-2021,3403434,5029913-13,20258208,18,8871561-61,1120.0,1274.78,0.04395,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,49.224000000000004,1.3630101972480002,0.0,0.0,93.86032320000001,95.22333339724801
2021-01-08,1-2021,3403434,5029913-13,20258208,19,896049-49,300.0,1115.46,0.0163,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,4.89,0.13540386527999998,0.0,0.0,9.324252,9.45965586528
2021-01-08,1-2021,3403434,5029913-13,20258208,20,875577-77,700.0,424.9,0.024,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,16.8,0.4651911936000001,0.0,0.0,32.034240000000004,32.4994311936
2021-01-08,1-2021,3403434,5029913-13,20258208,21,8902742-42,375.0,324.86,0.058,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,21.75,0.602256456,0.0,0.0,41.472899999999996,42.075156455999995
2021-01-08,1-2021,3403434,5029913-13,20258208,22,875582-82,700.0,672.84,0.017,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,11.9,0.32951042880000003,0.0,0.0,22.690920000000002,23.0204304288
2021-01-08,1-2021,3403434,5029913-13,20258208,23,8571482-82,520.0,1295.53,0.0163,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,288.437,0,0,908,1196.437,"San Marino, Italy",48.9575,4.365,43.9429,12.4578,8.475999999999999,0.23470003315199997,0.0,0.0,16.1620368,16.396736833151998
2021-01-08,1-2021,3403434,5003451-51,21000061,1,802051-51,40.0,31.88,0.02759,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,295.165,0,0,874,1169.165,"Bratislava, Slovakia",48.9575,4.365,48.1482,17.1067,1.1036,0.031271433024,0.0,0.0,2.02554744,2.056818873024
2021-01-08,1-2021,3403434,5003451-51,21000061,2,830864-64,20.0,29.25,0.0547599999999999,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,295.165,0,0,874,1169.165,"Bratislava, Slovakia",48.9575,4.365,48.1482,17.1067,1.095199999999998,0.031033411967999948,0.0,0.0,2.0101300799999966,2.0411634919679966
2021-01-08,1-2021,3403434,5003451-51,21000061,3,830863-63,30.0,43.88,0.0547599999999999,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,295.165,0,0,874,1169.165,"Bratislava, Slovakia",48.9575,4.365,48.1482,17.1067,1.642799999999997,0.04655011795199992,0.0,0.0,3.0151951199999942,3.0617452379519943
2021-01-08,1-2021,3403434,5003451-51,21000061,4,937555-55,20.0,15.94,0.029,WAREHOUSE PARIS AREA 1,FRANCE,CHALONS-EN-CHAMPAGNE,295.165,0,0,874,1169.165,"Bratislava, Slovakia",48.9575,4.365,48.1482,17.1067,0.5800000000000001,0.016434787200000002,0.0,0.0,1.0645320000000003,1.0809667872000002
